17:23:53.056 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
17:28:53.069 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
17:33:53.083 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
17:38:53.087 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
17:43:53.092 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
17:57:06.019 WARN  com.zaxxer.hikari.pool.HikariPool$HouseKeeper (HikariPool-1 housekeeper) [com.zaxxer.hikari.pool.HikariPool] -- HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m14s476ms339µs).
18:00:37.555 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
18:05:37.562 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
18:10:37.572 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
18:20:33.664 WARN  com.zaxxer.hikari.pool.HikariPool$HouseKeeper (HikariPool-1 housekeeper) [com.zaxxer.hikari.pool.HikariPool] -- HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m57s439ms177µs200ns).
18:23:05.008 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
18:36:44.529 INFO  org.springframework.boot.StartupInfoLogger (restartedMain) [c.j.d.DepartmentServiceApplication] -- Starting DepartmentServiceApplication using Java 11.0.8 on VSP-6C14JL3 with PID 18948 (C:\Java Assignments\7884\microservices\department-service\department-service\target\classes started by RohithKammili in C:\Java Assignments\7884\microservices\department-service\department-service)
18:36:44.533 INFO  org.springframework.boot.SpringApplication (restartedMain) [c.j.d.DepartmentServiceApplication] -- The following 1 profile is active: "dev"
18:36:44.591 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 53:13]
18:36:44.592 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 39:13]
18:36:44.592 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 20:13]
18:36:44.594 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] -- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
18:36:44.595 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] -- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
18:36:45.571 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate (restartedMain) [o.s.d.r.c.RepositoryConfigurationDelegate] -- Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18:36:45.816 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate (restartedMain) [o.s.d.r.c.RepositoryConfigurationDelegate] -- Finished Spring Data repository scanning in 233 ms. Found 1 JPA repository interfaces.
18:36:46.220 INFO  org.springframework.cloud.context.scope.GenericScope (restartedMain) [o.s.cloud.context.scope.GenericScope] -- BeanFactory id=6a1cefb0-2554-3566-bef5-cb414b5a66af
18:36:47.346 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer (restartedMain) [o.s.b.w.e.tomcat.TomcatWebServer] -- Tomcat initialized with port(s): 9092 (http)
