11:13:48.567 INFO  org.springframework.orm.jpa.AbstractEntityManagerFactoryBean (restartedMain) [o.s.o.j.LocalContainerEntityManagerFactoryBean] -- Initialized JPA EntityManagerFactory for persistence unit 'default'
11:13:49.117 WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration (restartedMain) [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:13:50.379 INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer (restartedMain) [o.s.b.d.a.OptionalLiveReloadServer] -- LiveReload server is running on port 35729
11:13:50.621 INFO  org.springframework.cloud.netflix.eureka.config.DiscoveryClientOptionalArgsConfiguration (restartedMain) [o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration] -- Eureka HTTP Client uses RestTemplate.
11:13:50.700 WARN  org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger (restartedMain) [o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger] -- Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
11:13:50.705 INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver (restartedMain) [o.s.b.a.e.web.EndpointLinksResolver] -- Exposing 16 endpoint(s) beneath base path '/actuator'
11:13:50.759 INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory (restartedMain) [o.s.c.n.eureka.InstanceInfoFactory] -- Setting initial instance status as: STARTING
11:13:50.920 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Initializing Eureka in region us-east-1
11:13:50.929 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (restartedMain) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
11:13:50.978 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Disable delta property : false
11:13:50.978 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Single vip registry refresh property : null
11:13:50.979 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Force full registry fetch : false
11:13:50.979 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Application is null : false
11:13:50.979 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Registered Applications size is zero : true
11:13:50.979 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Application version is -1: true
11:13:50.979 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Getting all instance registry info from the eureka server
11:13:51.557 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- The response status is 200
11:13:51.560 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Starting heartbeat executor: renew interval is: 30
11:13:51.563 INFO  com.netflix.discovery.InstanceInfoReplicator (restartedMain) [c.n.discovery.InstanceInfoReplicator] -- InstanceInfoReplicator onDemand update allowed rate per min is 4
11:13:51.567 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Discovery Client initialized at timestamp 1657604631566 with initial instances count: 0
11:13:51.570 INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry (restartedMain) [o.s.c.n.e.s.EurekaServiceRegistry] -- Registering application DEPARTMENT-SERVICE with eureka with status UP
11:13:51.572 INFO  com.netflix.discovery.DiscoveryClient$3 (restartedMain) [c.netflix.discovery.DiscoveryClient] -- Saw local status change event StatusChangeEvent [timestamp=1657604631572, current=UP, previous=STARTING]
11:13:51.573 INFO  com.netflix.discovery.DiscoveryClient (DiscoveryClient-InstanceInfoReplicator-0) [c.netflix.discovery.DiscoveryClient] -- DiscoveryClient_DEPARTMENT-SERVICE/VSP-5733JL3:DEPARTMENT-SERVICE:9093: registering service...
11:13:51.596 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer (restartedMain) [o.s.b.w.e.tomcat.TomcatWebServer] -- Tomcat started on port(s): 9093 (http) with context path ''
11:13:51.597 INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration (restartedMain) [o.s.c.n.e.s.EurekaAutoServiceRegistration] -- Updating port to 9093
11:13:51.732 INFO  com.netflix.discovery.DiscoveryClient (DiscoveryClient-InstanceInfoReplicator-0) [c.netflix.discovery.DiscoveryClient] -- DiscoveryClient_DEPARTMENT-SERVICE/VSP-5733JL3:DEPARTMENT-SERVICE:9093 - registration status: 204
11:13:51.845 INFO  org.springframework.boot.StartupInfoLogger (restartedMain) [c.j.d.DepartmenServiceApplication] -- Started DepartmenServiceApplication in 9.747 seconds (JVM running for 10.813)
