18:15:28.208 INFO  org.springframework.boot.StartupInfoLogger (restartedMain) [c.j.u.UserServiceApplication] -- Starting UserServiceApplication using Java 11.0.8 on VSP-5733JL3 with PID 23416 (C:\value momentum\Prudhvi\microservics\user-service\user-service\target\classes started by PrudhviGopiChandMaha in C:\value momentum\Prudhvi\microservics\user-service\user-service)
18:15:28.211 INFO  org.springframework.boot.SpringApplication (restartedMain) [c.j.u.UserServiceApplication] -- The following 1 profile is active: "qa"
18:15:28.255 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 60:13]
18:15:28.255 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 45:13]
18:15:28.256 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 31:13]
18:15:28.257 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] -- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
18:15:28.258 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] -- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
18:15:29.259 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate (restartedMain) [o.s.d.r.c.RepositoryConfigurationDelegate] -- Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18:15:29.347 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate (restartedMain) [o.s.d.r.c.RepositoryConfigurationDelegate] -- Finished Spring Data repository scanning in 76 ms. Found 1 JPA repository interfaces.
18:15:30.180 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer (restartedMain) [o.s.b.w.e.tomcat.TomcatWebServer] -- Tomcat initialized with port(s): 9095 (http)
18:15:30.192 INFO  org.apache.juli.logging.DirectJDKLog (restartedMain) [o.a.catalina.core.StandardService] -- Starting service [Tomcat]
