11:59:01.529 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver] -- Resolving eureka endpoints via configuration
11:59:38.408 INFO  com.javafsd.departmentservice.controller.DepartmentController (http-nio-9092-exec-3) [c.j.d.c.DepartmentController] -- Inside fetchDepartmentById method
11:59:38.414 INFO  com.javafsd.departmentservice.controller.DepartmentController (http-nio-9092-exec-3) [c.j.d.c.DepartmentController] -- Inside fetchDepartmentById method, Response : Department [departmentId=1, departmentName=H, departmentAddress=chennai, departmentCode=Hr002]
11:59:59.863 INFO  com.javafsd.departmentservice.controller.DepartmentController (http-nio-9092-exec-5) [c.j.d.c.DepartmentController] -- Inside findDepartments method
12:01:49.672 INFO  com.javafsd.departmentservice.controller.DepartmentController (http-nio-9092-exec-8) [c.j.d.c.DepartmentController] -- Inside fetchDepartmentById method
12:01:49.680 INFO  com.javafsd.departmentservice.controller.DepartmentController (http-nio-9092-exec-8) [c.j.d.c.DepartmentController] -- Inside fetchDepartmentById method, Response : Department [departmentId=2, departmentName=bo, departmentAddress=pune, departmentCode=bo002]
12:06:19.814 INFO  org.springframework.boot.StartupInfoLogger (restartedMain) [c.j.d.DepartmentServiceApplication] -- Starting DepartmentServiceApplication using Java 11.0.8 on VSP-3C14JL3 with PID 30852 (C:\Valuemomentum\microservice\department service\department-service\target\classes started by GopinadhKandepu in C:\Valuemomentum\microservice\department service\department-service)
12:06:19.817 INFO  org.springframework.boot.SpringApplication (restartedMain) [c.j.d.DepartmentServiceApplication] -- The following 1 profile is active: "dev"
12:06:19.873 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 50:13]
12:06:19.874 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 36:13]
12:06:19.874 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment] -- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 17:13]
12:06:19.876 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] -- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
12:06:19.877 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] -- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
12:06:20.982 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate (restartedMain) [o.s.d.r.c.RepositoryConfigurationDelegate] -- Bootstrapping Spring Data JPA repositories in DEFAULT mode.
12:06:21.169 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate (restartedMain) [o.s.d.r.c.RepositoryConfigurationDelegate] -- Finished Spring Data repository scanning in 176 ms. Found 1 JPA repository interfaces.
12:06:21.447 INFO  org.springframework.cloud.context.scope.GenericScope (restartedMain) [o.s.cloud.context.scope.GenericScope] -- BeanFactory id=80e15b3f-1f4b-3109-ab27-b6a46834426a
12:06:22.413 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer (restartedMain) [o.s.b.w.e.tomcat.TomcatWebServer] -- Tomcat initialized with port(s): 9092 (http)
12:06:22.424 INFO  org.apache.juli.logging.DirectJDKLog (restartedMain) [o.a.catalina.core.StandardService] -- Starting service [Tomcat]
12:06:22.424 INFO  org.apache.juli.logging.DirectJDKLog (restartedMain) [o.a.catalina.core.StandardEngine] -- Starting Servlet engine: [Apache Tomcat/9.0.64]
12:06:22.578 INFO  org.apache.juli.logging.DirectJDKLog (restartedMain) [o.a.c.c.C.[Tomcat].[localhost].[/]] -- Initializing Spring embedded WebApplicationContext
12:06:22.579 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext (restartedMain) [o.s.b.w.s.c.ServletWebServerApplicationContext] -- Root WebApplicationContext: initialization completed in 2702 ms
12:06:22.907 INFO  org.hibernate.jpa.internal.util.LogHelper (restartedMain) [o.h.jpa.internal.util.LogHelper] -- HHH000204: Processing PersistenceUnitInfo [name: default]
12:06:22.966 INFO  org.hibernate.Version (restartedMain) [org.hibernate.Version] -- HHH000412: Hibernate ORM core version 5.6.9.Final
